time,real,ma_pred,lr_pred,lstm_pred,arima_pred,ma_error,lr_error,lstm_error,arima_error,ma_accuracy,lr_accuracy,lstm_accuracy,arima_accuracy
2026-04-20 03:00:00,2909.9209094844914,3876.2490200617285,3980.8497450650443,2778.010101550394,,33.20805412365752,36.80267845390595,4.533140660426606,,66.79194587634248,63.19732154609405,95.46685933957339,
2026-04-20 04:00:00,1504.5119444444445,3548.290465198534,3033.359695972617,2914.7038565044886,2520.343469347482,135.84328979912317,101.61752169356915,93.7308551964186,67.5190069878869,0.0,0.0,6.269144803581398,32.4809930121131
2026-04-20 05:00:00,1188.4705555555556,2756.4093540874233,-629.4095284058526,2576.4440431912826,712.0980522396976,131.9291244703095,152.95962322866572,116.78652711651849,40.08281914003125,0.0,0.0,0.0,59.91718085996875
2026-04-20 06:00:00,1210.33,1867.634469828164,1116.295193237864,2478.4768093698626,1265.5970136331941,54.30787221899514,7.769352718856509,104.77694590482454,4.566276439747359,45.69212778100486,92.23064728114349,0.0,95.43372356025264
2026-04-20 07:00:00,1400.5169444444443,1301.1041666666667,396.85590954965755,2441.698622710498,1189.018111250783,7.098291682376792,71.6636124165508,74.34266914057713,15.101483351032105,92.9017083176232,28.336387583449195,25.65733085942287,84.8985166489679
2026-04-20 08:00:00,1741.466111111111,1266.4391666666668,1715.58648811663,2323.6860014140566,1560.2809094294346,27.277415357876926,1.4860824927548528,33.43274305415399,10.404176143633054,72.72258464212308,98.51391750724515,66.56725694584601,89.59582385636695
2026-04-20 09:00:00,1615.113263888889,1450.7710185185185,1749.3326052286345,2163.0486894470605,1923.3899888230592,10.17527680843046,8.310212313938322,33.92551084862285,19.08700348308068,89.82472319156955,91.68978768606168,66.07448915137715,80.91299651691932
2026-04-20 10:00:00,1543.0425,1585.6987731481483,1630.355941872528,2051.037850941235,1407.5159697100435,2.7644263296797287,5.658524756934956,32.92166942525788,8.783071774753875,97.23557367032028,94.34147524306505,67.07833057474213,91.21692822524612
2026-04-20 11:00:00,1528.2420138888888,1633.2072916666668,2043.1606942071398,2047.37240631308,1660.5291537955015,6.868367498330639,33.693529927759755,33.96912188686463,8.656164318502418,93.13163250166936,66.30647007224024,66.03087811313537,91.34383568149758
2026-04-20 12:00:00,1606.2393055555556,1562.1325925925928,1585.7174986298933,2046.4121077522168,1501.6173715811954,2.7459615021503554,1.2776307275436989,27.40393667831563,6.513471162889658,97.25403849784965,98.7223692724563,72.59606332168437,93.48652883711034
2026-04-20 13:00:00,1870.5240972222223,1559.1746064814815,1942.428692653683,2047.9614837404936,1759.7857907867292,16.64504035008707,3.8440881642872626,9.485971700753309,5.920175345505701,83.35495964991293,96.15591183571274,90.51402829924669,94.0798246544943
2026-04-20 14:00:00,2181.3161111111112,1668.3351388888889,2100.369610673959,2045.139504122123,2037.1997407750541,23.517039534491033,3.7109018736362804,6.2428644016947645,6.606853981500536,76.48296046550897,96.28909812636373,93.75713559830524,93.39314601849946
2026-04-20 15:00:00,2547.893611111111,1886.0265046296297,2368.812916064,2064.4056396253077,2361.736463314284,25.97703073610078,7.028578205391225,18.975987434379533,7.306315577111008,74.02296926389923,92.97142179460877,81.02401256562047,92.69368442288899
2026-04-20 16:00:00,3568.008333333333,2199.911273148148,2809.903315506055,2165.1111677686376,2738.732030035002,38.34343791756423,21.247288318943895,39.318774915922624,23.24199457582539,61.65656208243577,78.7527116810561,60.681225084077376,76.75800542417461
2026-04-20 17:00:00,3760.0466666666666,2765.7393518518516,4311.1484501934265,2380.7323127422346,4351.512402530128,26.444015273254102,14.656780417444107,36.683437100721235,15.730276464568572,73.55598472674589,85.34321958255589,63.316562899278765,84.26972353543142
2026-04-20 18:00:00,3384.1120138888887,3291.98287037037,3488.890977462791,2636.3812647478367,3385.5863393338946,2.7224023064368756,3.09620258265312,22.095330948628654,0.04356609470830286,97.27759769356312,96.90379741734688,77.90466905137134,99.9564339052917
2026-04-20 19:00:00,3275.767013888889,3570.722337962963,3418.33025606437,2855.2627648006905,3326.165889031383,9.004160638516,4.35205683343867,12.836817982027016,1.53853662146326,90.995839361484,95.64794316656133,87.16318201797299,98.46146337853673
2026-04-20 20:00:00,3901.865138888889,3473.308564814815,3158.8750260302113,3018.6729596658743,3282.201301653258,10.983377405916993,19.041921911997566,22.635128272898637,15.881221292340438,89.016622594083,80.95807808800244,77.36487172710136,84.11877870765956
2026-04-20 21:00:00,3952.5544907407407,3520.5813888888883,4384.616897431988,3208.1438600336405,4292.244408706048,10.928960065289248,10.931219486117074,18.83365890213424,8.594186841979408,89.07103993471075,89.06878051388293,81.16634109786577,91.40581315802059
2026-04-20 22:00:00,3956.434375,3710.062214506173,3528.069191293035,3378.606341071791,3812.060047206309,6.22712617326875,10.827051408048812,14.604767302078875,3.649102047691389,93.77287382673126,89.17294859195118,85.39523269792113,96.35089795230861
2026-04-20 23:00:00,3960.676064814815,3936.951334876543,3907.991654376803,3464.847309731033,3937.741993858457,0.5990070773278783,1.3301873108492992,12.518790907656951,0.5790443495264824,99.40099292267212,98.6698126891507,87.48120909234305,99.42095565047352
2026-04-21 00:00:00,3963.8541666666665,3956.554976851852,3696.049313580753,3539.9672887654137,4092.1597145000906,0.18414375271914837,6.7561732048058545,10.693806080603439,3.2368887057547915,99.81585624728085,93.24382679519414,89.30619391939656,96.7631112942452
2026-04-21 01:00:00,3967.7404166666665,3960.321535493827,3908.794829460229,3622.517848362509,3765.814031401945,0.18698000357271824,1.4856210592516137,8.700734726849443,5.089203527945548,99.81301999642729,98.51437894074839,91.29926527315055,94.91079647205446
2026-04-21 02:00:00,3930.5093055555553,3964.0902160493824,3812.620595956571,3768.580923765415,4139.3375449399055,0.854365373117483,2.999324017179028,4.119781158163493,5.313007123254564,99.14563462688251,97.00067598282097,95.88021884183651,94.68699287674544
2026-04-21 03:00:00,2933.7140277777776,3954.0346296296298,3752.416604329646,3628.058121983406,3787.0863468600105,34.77914316770412,27.90669331775385,23.66774974081501,29.08846298589789,65.22085683229588,72.09330668224615,76.33225025918499,70.91153701410211
2026-04-21 04:00:00,1527.7513888888889,3610.654583333333,2221.5105305441302,3468.7462550317855,2578.1083444569904,136.33783674445283,45.41047363470586,127.04913117798267,68.7518246232465,0.0,54.58952636529414,0.0,31.248175376753494
2026-04-21 05:00:00,1223.7240277777778,2797.324907407407,972.6644299428681,3138.6079255944214,908.4164299849656,128.59115649524432,20.516030750072098,156.4800440581344,25.76623410471029,0.0,79.4839692499279,0.0,74.23376589528971
