time,real,ma_pred,lr_pred,lstm_pred,arima_pred,ma_error,lr_error,lstm_error,arima_error,ma_accuracy,lr_accuracy,lstm_accuracy,arima_accuracy
2026-04-20 03:00:00,3419.5175124470425,2703.7465200617285,3323.9130455342793,2794.468121690416,2997.71954474207,20.93192942512819,2.7958466820176526,18.278876726948962,12.335014111482923,79.06807057487181,97.20415331798235,81.72112327305103,87.66498588851708
2026-04-20 04:00:00,3420.4527777777776,2935.0719022971625,4287.706342955382,2815.839269661475,3952.112233613283,14.190544556968288,25.35493461017893,17.676417345808577,15.543540296466759,85.80945544303171,74.64506538982107,82.32358265419143,84.45645970353324
2026-04-20 05:00:00,3187.659722222222,3203.8395874823473,4708.591833850846,2858.870759519244,3478.727611679417,0.5075781818030936,47.71312637373767,10.314431004378614,9.131084081154112,99.4924218181969,52.28687362626233,89.68556899562138,90.86891591884589
2026-04-20 06:00:00,2886.0825,3342.5433374823474,3198.8329895159886,2924.889515447836,3047.5056501738136,15.815931716517023,10.836505523178518,1.3446259920787422,5.593157859271646,84.18406828348297,89.16349447682148,98.65537400792125,94.40684214072836
2026-04-20 07:00:00,2930.0175,3164.7316666666666,2899.7284829166347,3001.4447405351398,2699.351869642559,8.010674566505717,1.0337486749947826,2.4377752192654087,7.87250009112372,91.98932543349429,98.96625132500522,97.5622247807346,92.12749990887627
2026-04-20 08:00:00,3363.6780555555556,3001.2532407407402,3107.9376996889305,3070.881235132987,3048.4467246124923,10.77465824103538,7.602997422545727,8.70466244351109,9.371626110959621,89.22534175896462,92.39700257745427,91.2953375564889,90.62837388904038
2026-04-20 09:00:00,3640.4100694444446,3059.926018518519,3715.7877271820958,3132.49583443309,3557.1767718551464,15.945567665527092,2.070581508669279,13.952115979309621,2.2863714801777886,84.0544323344729,97.92941849133072,86.04788402069038,97.71362851982221
2026-04-20 10:00:00,3723.6525,3311.3685416666667,3634.057999127104,3188.676432992204,3798.528140030298,11.072030978544142,2.4060918915741016,14.36697079031398,2.010811697125275,88.92796902145585,97.5939081084259,85.63302920968601,97.98918830287472
2026-04-20 11:00:00,3526.8047916666665,3575.913541666667,3512.0542686181366,3243.578051848555,3638.4418819754824,1.3924431007930254,0.4182404164637423,8.03068943558588,3.165388982474968,98.60755689920697,99.58175958353625,91.96931056441412,96.83461101752503
2026-04-20 12:00:00,3376.9236111111113,3630.2891203703707,3357.5047725855034,3329.76202234949,3370.469810010279,7.502849884599384,0.5750452412282598,1.3965844121094482,0.19111480874477504,92.49715011540061,99.42495475877175,98.60341558789055,99.80888519125523
2026-04-20 13:00:00,3295.324375,3542.4603009259263,3394.457981638069,3404.218881486657,3361.6426622479194,7.499593296515039,3.008311029716735,3.3045155527870325,2.0124964859618477,92.50040670348496,96.99168897028326,96.69548444721296,97.98750351403815
